"A. Burton",,,,
"A. Crawford",,,,
"A. Greenslade",,,,
"Adam Stacey",,,,
"Adrian Collett",,,,
"Alan Hilliar","Q75838628","2019 United Kingdom general election","Aldershot","Liberal Democrats"
"Carl Hewitt",,,,
"D. Somerville",,,,
"David H. Robinson",,,,
"Derek Rumsey",,,,
"Derrick Harold Silvester",,,,
"Donald Stevens",,,,
"Donna Wallace","Q75975459","2019 United Kingdom general election","Aldershot","Green Party of England and Wales"
"E.P. Sudworth",,,,
"Elizabeth K Collard",,,,
"G. Floyd",,,,
"Gary Cowd",,,,
"Gary Puffett",,,,
"Gerald Edward Owen",,,,
"Gerald Howarth","Q689589","2015 United Kingdom general election","Aldershot",
"Harry Ainger",,,,
"Henry Fabian Orpen",,,,
"Howard Kaye",,,,
"Howard Linsley",,,,
"J.R. McPhie",,,,
"John Henry Gooden",,,,
"John Howe",,,,
"Jonathan Slater",,,,
"Julian D Richards",,,,
"Juliana Brimicombe",,,,
"Luke Akehurst",,,,
"N. Westbrook",,,,
"NF Hidden",,,,
"Philip M. Gibbons",,,,
"Robert N Hales",,,,
"Robert Snare",,,,
"Roger Hargreaves",,,,
"Roger T. Bogg",,,,
"Roy E Brooks",,,,
"Roy Swales",,,,
"T. Greenslade",,,,
"Terence Bridgeman",,,,
"W.L.J.T. Card",,,,
"William Cuthbertson",,,,
